word,dateCreated,dateModified,guid,id,morph_type,cv_pattern,pron_number,pron
rukëɨ,2013-07-30T10:23:00Z,2018-02-04T12:01:08Z,9b53bc43-8ba3-40a0-8941-afef6577538f,rukëɨ2_9b53bc43-8ba3-40a0-8941-afef6577538f,stem,ɾukəɨ,1,ɾukəɨ
rukëɨ,2013-07-30T10:23:00Z,2018-02-04T12:01:08Z,2feaaa00-0313-42b1-aeaa-bcfd816aba39,rukëɨ3_2feaaa00-0313-42b1-aeaa-bcfd816aba39,stem,ɾukəɨ,1,ɾukəɨ
rukëɨ,2013-07-30T10:23:00Z,2018-02-04T12:01:08Z,a3bc504c-3809-4c12-b096-f160c0dec493,rukëɨ4_a3bc504c-3809-4c12-b096-f160c0dec493,stem,ɾukəɨ,1,ɾukəɨ
tëkë,2013-06-11T16:18:24Z,2018-02-04T12:01:08Z,3ae5c460-6621-434c-a412-28898aa0fc15,tëkë2_3ae5c460-6621-434c-a412-28898aa0fc15,root,təkə,1,təkə
tëkëa,2013-07-30T10:23:10Z,2018-02-04T12:01:08Z,5f472ed6-d092-4280-8e38-7da9d56be457,tëkëa_5f472ed6-d092-4280-8e38-7da9d56be457,stem,təkəa,1,təkəa
tëkëaɨ,2013-07-30T10:23:10Z,2018-02-04T12:01:08Z,93554c15-4553-4dff-911d-33a53331acdc,tëkëaɨ_93554c15-4553-4dff-911d-33a53331acdc,stem,təkəaɨ,1,təkəaɨ
tëkëkë,2013-06-11T16:18:24Z,2018-02-04T12:01:08Z,1e8c44ce-54eb-427e-81cf-fcced179dfc6,tëkëkë_1e8c44ce-54eb-427e-81cf-fcced179dfc6,stem,təkəkə,1,təkəkə
tëkëkëa,2013-07-30T10:23:10Z,2018-02-04T12:01:08Z,7ab73ee6-64a8-460d-b541-91cce62a0410,tëkëkëa_7ab73ee6-64a8-460d-b541-91cce62a0410,stem,təkəkəa,1,təkəkəa
tëkëkëo,2013-07-30T10:23:10Z,2018-02-04T12:01:08Z,7b663662-d2c3-4597-8bc3-f99290ccae77,tëkëkëo_7b663662-d2c3-4597-8bc3-f99290ccae77,stem,təkəkəo,1,təkəkəo
tëkëmaɨ,2013-07-30T10:23:10Z,2018-02-04T12:01:08Z,fa24cb22-3215-4912-a17f-d97b40727636,tëkëmaɨ1_fa24cb22-3215-4912-a17f-d97b40727636,stem,təkəmaɨ,1,təkəmaɨ
